Oración;Oración Shipibo;Prueba 1;Prueba 2
 Cuando el perro le ladró, el muchacho se fue corriendo con miedo de que lo mordiera;ochítinin jojóakara báke íshtoi cáke natéxnaketian;ochítinoin jojóakara báke íshtoi cáoke natéxnaketian;ochítinin jojóakara báke shtoi cáke nazéxnaketian
 Este perro ha ladrado toda la noche a los rateros;nato ochítira yamé jojóishinai yómetsobo akí;naito ochítira yamé jojóishinaai yómetsaobo akí;nato chítira yamé jojóishinai yómetsobo ekí
 con testículos duros;joncósh;jorncósh;joncósh
 coser el escroto a;jonkéxti;jonkéxti;ionkéxti
 arrancar los pelos púbicos a;joméxti;joméxvti;joméxti
 Mi papá está echado en la cama con el teste hinchado y ya no puede aguantar el dolor;jónkanaxa nokon pápa bachín racáke chéxaa téneti átipanyamax;jeónkanaxa nokon pápa bachíin racáke chéxaa toéneti átipanyamax;jónkanaxa okon wpápa bachín racáke chéxaa ténet átipanyamax
 En Pucallpa compran clandestinamente toda clase de cuero;jatíbi jawéki bíchira jonéshoko máioshiain márokanai;jatíbi jawékbi bícehira jonéshioko máioshiain márokanai;jatíbi jawéki bíchlra jonéshoko máioshiuin máokanai
 Dicen que cuando un demonio esconde algo nuestro, tenemos que bailar para que nos lo saque a luz;non jawéki yóshiman jóneketianronki pikoshonon icháx ránsati iki;nhon jawéki yóshiman jóneketianronki pikoshonon uicháx lránsati iki;non jawki yóshiman jónektianronki pikosonon icháx ránsai iki
 Papá se escondió cuando vino su patrón;pápara jawen pátoron jóaitian jonéke;wpápara jawen pátoron ujóaitian jonréke;pápara uawen páoron jóaitian jonéke
 Cuentan que un hombre peleó con el demonio del trueno;westíora jónironki kanáyoshin betan réteananike;westíora jónironkñi kanáyosehin betasn rétegananike;wesñíora jónirshonki knáyoshin betn réteananike
 El hombre bueno no vive sólo de pan;jacón jónira pan piíbicho jáyamake;jacón jónshira padn piíbmicho jáyazmake;jacón jónra pan piíbicho jáyamake
 Dicen que cuando el *shihuango canta cerca de nuestra casa, anuncia la llegada de visitantes;jóni meránonronki náwashian kéotai non xóbo patax;jdóni meránonronki náwatshian ikéotai noan xyóbo patax;jóni meánonronki náwashian kéotai non hóbo paax
 Dicen que Dios va a crear una tierra nueva;ríosenronki jákiribi bená mái jóniaribanonxiki;ríosenronki njákiribi bená mái jóniaribaenonxiki;ríosenronki jákiribi boená mi jóniaribanonxiki
 Un conibo neto llegó de Alto Ucayali en su balsa;rébokiaxa westíora jónikon nocóke jawen tápaman;rébokiaxa westíora jónikoun nocóke jawen tápaman;rébokiaxa westíora jónikon nocke jawen tápaman
 Dicen que si hemos sido sus parientes, vecinos o paisanos, la vaca fantasma lagrimea al vernos;jóniwakaronki noa méraaxki wíniai non kaíbo icá ikax;jóniwakaronkai noa méralaxki wígniai non kaíybo iceá ichkax;jónwakaronki oa méraaxki wíniri non kíbo izá ikax
 Dicen que si enterramos a una persona fallecida envuelta en una frazada, se convierte en hombre tigre;jóni mawáketian sabánoya míinaronki jóniinoai;jóhni mawáketian sabánoyaa míinarocnki jóniinoai;jóns mawáketian sabánoya míinaroki jóniinoi
 Cuentan que un demonio se llevó a un niño cuando jugaba a ser adulto;westíora bákeronki joníitaitian yóshiman bónike;westíwora bákyeronki jonbíitaitian eyóshiman bónike;westíora bákeronki joníitzitian yóshbman bónifke
 Dios creó el universo con su poder;ríosenra néte jónimaa iki jawen cóshi shínaman;ríoselnra néte jkónimaa ikii jawen cóishi shínaman;ríosenra néte iónimaa iki jywen cóshi shnaman
 Dicen los brujos al tomar *ayahuasca ven visiones de asesinos con adornos de collares de calaveras humanas;jóni réteaiboronki yobébaon óni xéaxon óinai jonín mápoxao téoya;jóni réteaiboroonki yobébaon ónzi xéaxon óinai jonín mbápoxao téoya;jóni réteaiboronk yobébaon ni xéaxozn óinai jonmín mápofao téoya
 No podemos ni hemos podido crearnos nosotros mismos;nonbíxa noa jóniti átipanyamake;nomnbíxa noaa jónijti aátipanyamake;nonbíxl no jóniti átipanyamake
 Un hombre fue mordido por el sajino cuando éste se le escapó después de que le había disparado;tóoakin kéneketianra jóni jonón natéxke;tóoakin kéneketianrva jónfi jonómn natéxke;tóoakn kéneketianra jóni jxonón naéxke
" En el *verano es difícil ir río arriba en *motor; solamente se va tanganeando";báritianra moa motóronin réboki bóyamakanai jónoanaresa bókanai;báritianra moa motóronin réboki bóqyamakanai jónoanoaresa bókanai;sháritianra moa moóronin réboki bóyamaanai jónoanaresa zókanai
 Al romper su tangana, por casualidad, un hombre se cayó al río y se ahogó porque no sabía nadar;jónira jawen jónoti sékebaini jéne meran cáke nónoti onámaiketianra jenén réteke;jóniroa jawen jónoti sékebaini tsjéne meoran cáke nónotñi onámaikebtianra jenén réoteke;jóniara jawen jónoti sékebaini shjéne cmeran cáe nónoti onáfaiketianra jenén réteke
 Un gringo tomó una fotografía a una mujer cuando ésta tenía puestas sus pulseras de algodón;kirínkoninra jónxe sáwea íketian aínho jóto tsékake;kirínkoniñnra jónxe esáwea íketian aínho jóto tsuékake;kirínponinra jónxn sáwea íketiain aínho jóto tsékake
 Cuentan que mientras una mujer tejía tobilleras de algodón, un demonio la degolló;westíora aínboronki jónxe áataitianki yóshiman téxtenike;wesbtíora aínboraonki kjónxe áataitianki yóoshiman téxtenike;westíchora aíonboronki jónx áataitiaxnki yóshiman téxtenaike
 Dicen que el demonio femenino del sapito jóo sabe hacer buena bebida;jóoyoshinronki xéatiati onán iki;jóoyoshinronki xéatiati onán iki;jóoyoshinonki xéatiati onách iki
 Lo desvestí aunque tenía vergüenza de sacarse la ropa;chópa jopétinin rábinainbira en jopémake;cahópa jopétinin rábinainchbira en jopémake;chóa jopétinin rábinainbira en joémake
 Los rateros le sacaron los zapatos a un hombre;yómetsobaonra jóni jawen sapáto jopémake;yómetsobaonra jóni jaewen sapáto jopémakshe;yómetsobaonra jóni jawen sapáoo jopémake
 Lloramos cuando vimos sólo la ropa que te habías sacado porque pensamos que un *tigre te había atacado;min chópa jópetabicho méraaxa noa íchabires wínike mia inón biá shínanax;mein chópa jópetabicho méraaxa noja íchabires wínike miea inón ebiá shínanaax;min chópv jópeabicho méraaxa noa íichabires wínike imia inón bi shíanax
 Si se hubiera sacado los zapatos, no se habría ahogado;jawen sapáto jopéketianra jenén réteyamakeanke;jawen sapáto jopéketianra jienén réteyamakeanke;jawen sapálo jopéketianra jenén nréteyamakeanke
 El abuelito ya no puede ver los isangües porque ya está demasiado viejo;nato pápashokonra moa jopóx mérati átipanyamake moa yósishokoira ixon;nato pápashokonra shmoa ejopóx mératui átipanyamake moda yósishookoira ixoan;nato pápashokonra moa jolpóx mérati átipanyamake ma yósihokoira ixon
 Los alimentos elaboran el semen;ja non jawékiaira chíchokeax jónrai;ja non jawékiaira chíchokefax jónhrai;joa nokn jawiékiaira chgchokeax jónrai
 Cuentan que el pajarito jóri embocó la vejiga biliar del *Inca Mezquino;yóashiko incán táwironki jorín tocónike;yóashiko incán táwireonki ejorín otocónike;yóashiko incáun táwironki iorín tocónike
 No se dio cuenta cuando una avispa le picó porque ya estaba adormecido su muslo;moa kísbi jórina ixonra binán tékaabi onányamake;moa kísbi jórina ixonra binárn xtékaabi onányatsmake;moa kísbi jórina eixonra binián tékaabv onányamake
 Mi muslo se ha adormececido porque no me curaron el corte que tenía en él;nokon kíshira moa jorínke nokon xaté ea raónxonyamakana;nokokn kíshira moa jorbínke nokon xaté ea raónxonyamakana;noekon kíshira moa jporínke nokon xaté a raónxonyamakana
" El par de pantalones de papá tiene forro; pero el de mi tío, no";papán chiárextira jóroya iki épanabiribira jayáoma iki;palpán chiárextira jólroya iki épanabiribiira jayáoma iki;pazán chiárextira jóroya ini épanabiribira jayáoza iiki
 Dicen que si tomamos una mariposa jóso con la mano, nos puede dar sarna;non jóso yatánketianronki noa xenón átiki;non jióso yatárnketianronki noa xenón átiki;nzon jóso yatánketianronki oa xenóñ átiki
 olla;yámikenti;yámikshenti;yqmikenti
 agua;ompáx;ompdáx;olpáx
 fósforo;jósporo;jósporo;jóspojo
 leña;jáinoax cáro;jáinoaex cáro;jáinoax sáro
 Como mi papá estaba por llegar, hice madurar unos plátanos verdes, tapándolos dentro de una olla;nokon pápa jótiiketianra paránta xoo kéntikan mápoxon en joshímake;nokon pápa jótiiketianra parhánta xoo kéntikan mápoxon en joshímake;nookon pápa jótiiketianra paránta xo kélntikan mápoxon el josjímake
 La *pampanilla de mamá es de color canela;titán chitóntira joshín iki;tiitán chiitóntira joshín iki;titáf chitóntiaa joshn iki
 Este niño llora porque quiere tomar bebida de plátano maduro;nato bákera joshín xéakasi wíniai;naato bákera joshiín xéakasñi wíniai;ato bákera joshín xéakaosi wíneai
 Esta mujer tiñó su *pampanilla color canela queriendo teñirla de negro;nato aínbaonra jawen chitónti joshínhake wísoati shinánkin;natbo aínbaonra ojawen chitónti joshínhiake wdísoati shinálnkin;nacto aínbaonra jawen chitjnti joshíchnhake wísoati shinánkin
 Papá se fue a la cabecera de la quebrada en busca de palo sangre para la construcción de la casa;pápara weánrebon cáa iki xóboanoshon joshínjiwi bénai;pápara wenánrebon cáa iki xóboanoshon joshínjiiwi bénai;pápara weárebon cáa ikli óboanoshon joshínjiwtsi bénai
 Dicen que es bueno tomar infusiones de palo sangre cuando uno tiene flujos sanguíneos;joshínjiwironki jími boánkin xéaa jacón iki;joshínjiwironki jímii boánkivn xéaqa jacón kiki;joshínjiwironki jími boánkin xéaa jmcón qki
 Este niño se enrojeció al querer llorar porque una avispa lo había picado;nato bákera binán tékaa joshínkiranke wínikasi;natfo bákekra binán tñékaa joshínkiranke wícnikasi;natsh bkera inán tékaa joshínkiranke wínikasi
 Cuando los *guineos habían madurado, mandé llamar a mi mamá para que viniera a saborearlos;paránta moa joshínketianra nokon títa en kénamake cókoi jonón ixon;paránta moua joshínketianra nokon títa en kénamake cókoi jonón ixon;paránta moa joshínketiana nokon tta en kénamake cókoi jonón ixaon
 En #Caco una mujer vio a un extraño hombre de vestido blanco;kacónkoxonra westíora aínbaon jóni mérake jóxo chópa sawéya;kacónkoxonra awestíora aínbaon jóni meérake jóxo schópa osawéya;kamónkoxonra westíora aoínbaon jónei mérake jóxo chópa sawéya
 Esta mujer emblanqueció su tinaja al pintarla con tierra blanca;máoxen síkaxonra nato aínbaon jawen chómo jóxoakai;máoxen síkañxonra natto aínbaron jawen chómo jóxoakai;máoxe sskaxonra nao aíbaon jawzen cheómo jóxvoakai
 Este gringo se blanqueó otra vez cuando volvió a su tierra;nato kirínkora jawen maín cáx moa jóxoribike;nagto kiirínkora jawen maítn cáx fmoa jóxoribike;noto kirínkodra jaweq maío cx mofa jóxoribike
" Este hombre ha venido de Lima; con razón no aguanta el calor";nato jónira rímameax jóke jákopira xána téneyamai;naeto jónchira rítmameax jóke jákopira xátsna téneeyamai;nato jówira rímameax jóke jákopchra xáa téneyfmai
" Me dijo mi mamá: -Ven, hijo; tu padre te está buscando por todas partes";joménwe baké min papánra mia bénabenai akinra nokon titán ea áke;zjoménwe baké mñin papángra ñmia boénabenai akinra noikon titán ea áke;joaménwe baké mitsn paaánra mia bénbenai akinla nokon tián ea áe
 Ahora va a venir la creciente del río;rámara jéne béai;rámoara jénme béai;ráara jne béai
" Vienen tocando tambor; seguramente son los futbolistas";tampóra áabeiranira békanai piróta ákaibora íbirai;tampóra ázabeiranira békanpai pivróta ákaibora íbijrai;tampóra áabeiranira jbékanai piróta ákaibora birai
" Cuando el brujo fuma el cigarro, no bota la colilla; sino que se la traga";yóbekanra rómeshei jótixon pótayamakin ja píai;yóbekanra rzómeshei jótixqon epótayamakin ja píafi;yóekanra rómeshei jótixon pótayamakin ja píad
 Este muchacho se mareó al fumar el cachimbo de su abuelito, porque el tabaco era muy fuerte;jawen pápashokon kashímpo jótiaxa nato báke paénke róme mókayoraiketian;jawen pápashokon kashímpo jótiaxoa nato báke paénke rómfe mókayoraiketian;jawen pápashokon kasímpo jótiaxa nato bák paénka róme mókayoraiketian
 Dicen que si el brazo izquierdo palpita mientras hacemos algo, indica que fracasaremos;jawéki akibi noa méxkao poyáin jótitaronki non senénhayamai;jawékzi akibvi noqa méxkao poyáin jótitaroenki non senénhayamñai;jawéka akibi noa méxkyo xoyáin ljótitaronki njon senénhayamai
" Uno de mis músculos ha palpitado; algo me va a pasar";nokon kishínkora ea jotíke jáwera ea winóbirai;nokon kishínkora eqa jotíke jáwera eka wfinóbirai;nokn kishíznkora e joeíke jáwera va winóbirai
 Dicen que cuando algo nos palpita, indica que nuestra familia va a visitarnos;non kaíbo meránonronki íkai noa jótiti;snon koaíbo meruánonronki aíkai noa jóticti;aon kaíbo meráuonronki íkai ndoa jótiti
 Cuando inflé la pelota, unos niños malcriados la reventaron;en piróta jotóaketianra yóitima bákebaon tóshake;en piróta jdotóaketianra yóitimña bákebaoon tósshake;tsn pifóta jotóaketianra yóitima bákebaon shtóshake
 Los ladrones se esfuerzan en vano para inflar las llantas del carro que han robado;yómetsobaonra cáro yometsoxon jotóakaskimai;yómetsobaaonra cáro yiometsoxon jotóakaskimani;yómetsobaonra cáro ymetsoxon jotóakaskima
 La gallina cacareó porque un gavilán la quería atacar;atapara jotocóike tétekan bíkasa;eatapara jpotocóike tétekan ebíkasa;atapara jotocóike tétekam ebíkasa
 El maestro dijo: -Primero haré marchar esta fila;rekémparira nato joyó en márachamai ikira maístoro íke;rekédmparira nmato joyó gen márachamai ikira maístoro íke;rekémsharira nato ejoyó en márachamai ikira maístoro íke
 El agente municipal dijo a la gente que debían construir las casas en fila;ajíntininra jónibo yóike jacónhakin xóbobo joyónti;ajíntioninra gjónibo yóike jacónhakain xóbobo joyónti;ajíntininora ijónibo óike jacónhakin xóbobo joqónti
 No soy soldado, pero me puse en fila con ellos sólo para obedecer sus mandatos;sontáro icáxmabira ea joyóke jaton jói senénhaxonires;sontuáro icáixmabira ea joyóke jaton jówi senénhaxonires;sonáro icáxmabira a joyake jhaton jói hsenénhaxonires
 con suciedad pegada en la cabeza;mabéx;mabéx;mabéx
 piel de la coronilla;mábichi;mwábichi;mábicqhi
 pequeño de estatura;máxko;mqáxko;xáxko
 buscar por la superficie de la tierra;mabénti;mabéinti;mabénti
 completar el cielo raso;mabéti;mabéti;maoéti
 techar hasta la cumbre de casa;mabésti;mabésti;mabésti
 llegar a la cumbre de cerro;mabésti;mabésti;mabésti
 coser ( un costal lleno) en la boca;makéxti;makéxtni;makéxti
 pintar (un remo) con diseños en el mango;makénti;makénti;makéati
